# size local data ( * 10^3)    normal  normal-one-top  non-deterministic-normal  non-deterministic-normal-one-top 
1                              0.3       0.31              0.8                     1.3      
5                              0.8       1.23              2.2                     2.6
10                             1.8       2.3               3.7                     4.5
15                             3.2       4.1               5                       6.5
20                             5         6.56              7.1                     8.4
25                             7.2       9.3               9.4                     11.6
30                             9.4       11.5              12.1                    14.8
35                             12.6      16.2              15.1                    17.7
40                             15.4      20.3              18.7                    22.3
45                             19.3      25.2              22.4                    29
50                             23        29.8              26.6                    31.1
