# Nb of Clients   1000       10000     100000
2                    0.3     1.441      5
10                   0.8     2.1        14
15                   1       2.8        21
20                   1.1     3.6        31 
25                   1.24    5.0        43
30                   1.36    6.0        58
35                   1.46    7.1        68
40                   1.7     9          90
45                   1.8     11         105
50                   1.91    14         116
55                   2.1     15.9       141
60                   2.22    18         162
